Age,WAR,YR_Salary,DH,INF,MULTI,OF,P
31,11.4235,40000000.0,0,0,0,1,0
29,6.35239,25285714.28571429,0,1,0,0,0
30,6.34497,27272727.27272727,0,1,0,0,0
30,6.20158,27000000.0,0,0,0,0,1
40,6.09025,43333333.0,0,0,0,0,1
30,6.06666,25454545.45454545,0,1,0,0,0
30,5.37112,20250000.0,0,0,0,1,0
28,4.35496,33333333.33333333,0,1,0,0,0
33,3.98597,13000000.0,0,0,0,0,1
34,3.98489,13000000.0,0,0,0,0,1
36,3.86917,19500000.0,0,1,0,0,0
32,3.83566,19650000.0,0,0,0,0,1
35,3.81711,20000000.0,0,0,0,0,1
31,3.27001,17500000.0,0,0,0,0,0
33,3.1489,12500000.0,0,0,0,0,1
37,3.02385,10000000.0,0,0,0,0,1
29,2.97697,18600000.0,0,0,0,0,1
30,2.95355,8500000.0,0,1,0,0,0
28,2.79656,15000000.0,0,0,0,1,0
34,2.67079,21000000.0,0,0,0,0,1
30,2.53131,18000000.0,0,0,0,0,1
33,2.4163,20000000.0,0,1,0,0,0
37,2.41525,8500000.0,0,0,0,0,1
38,2.40273,10850000.0,0,1,0,0,0
37,2.28244,6000000.0,0,0,1,0,0
31,2.26172,17000000.0,0,0,0,0,1
30,2.2439,13000000.0,0,0,0,0,1
33,2.21145,4750000.0,0,0,1,0,0
35,2.18935,37000000.0,0,0,0,0,1
31,2.05393,19650000.0,0,0,0,1,0
30,1.95176,16500000.0,0,0,1,0,0
35,1.82263,10000000.0,0,0,0,0,1
43,1.75838,8000000.0,0,0,0,0,1
33,1.72614,8500000.0,0,1,0,0,0
27,1.68604,17500000.0,0,0,1,0,0
32,1.62474,10000000.0,0,0,0,0,0
37,1.60908,6750000.0,0,0,0,0,1
32,1.50932,11500000.0,0,0,0,0,1
32,1.4359,8500000.0,0,0,0,0,1
35,1.39853,2000000.0,0,1,0,0,0
29,1.38092,13333333.33333333,0,0,0,0,1
34,1.27381,9500000.0,0,0,0,0,1
37,1.2593,4000000.0,0,1,0,0,0
36,1.21846,12000000.0,0,0,1,0,0
31,1.14945,7500000.0,0,0,0,0,0
31,1.12533,12500000.0,0,0,0,0,1
32,1.10772,12500000.0,0,0,0,0,1
31,1.09222,8000000.0,0,1,0,0,0
33,1.09052,9000000.0,0,0,0,1,0
37,1.08585,7250000.0,0,0,0,0,1
35,1.08015,16000000.0,0,0,0,0,1
32,1.03759,7500000.0,0,0,1,0,0
37,1.03691,6725000.0,0,0,1,0,0
31,1.03302,8500000.0,0,0,0,0,1
35,1.02067,10000000.0,0,0,1,0,0
32,1.00679,11000000.0,0,0,0,0,1
33,1.00632,17000000.0,0,0,0,0,1
34,0.924639,7000000.0,0,0,0,1,0
35,0.858868,10000000.0,0,0,0,0,1
31,0.852228,7000000.0,0,0,1,0,0
29,0.835445,1000000.0,0,0,1,0,0
32,0.802899,14500000.0,0,0,0,1,0
31,0.761114,3500000.0,0,0,0,0,1
32,0.743134,1175000.0,0,0,0,0,0
38,0.740015,10000000.0,0,0,0,0,1
35,0.730254,2800000.0,0,0,0,0,1
32,0.706503,9200000.0,0,0,0,0,1
35,0.625274,6000000.0,0,0,0,1,0
31,0.624965,6500000.0,0,0,0,0,1
29,0.591175,11000000.0,0,0,0,1,0
32,0.575662,7250000.0,0,0,1,0,0
35,0.546378,7000000.0,0,0,0,1,0
30,0.533323,5000000.0,0,0,0,0,1
36,0.528251,4500000.0,0,0,0,0,1
29,0.465648,2000000.0,0,0,0,0,1
30,0.455145,3500000.0,0,0,1,0,0
32,0.450447,8666666.66666667,0,0,0,0,1
34,0.447323,2250000.0,0,0,0,1,0
32,0.443084,12000000.0,0,0,0,0,1
34,0.425991,3250000.0,0,0,0,0,0
31,0.41655,3150000.0,0,0,0,0,1
32,0.382468,1500000.0,0,0,0,0,1
31,0.377528,2000000.0,0,0,0,0,1
33,0.365604,1000000.0,0,0,0,0,1
30,0.359153,6750000.0,0,0,0,0,1
32,0.320129,4250000.0,0,0,0,0,1
31,0.311419,7500000.0,0,0,0,0,1
36,0.306555,5000000.0,0,0,1,0,0
32,0.296426,5000000.0,0,0,0,0,1
33,0.291792,720000.0,0,1,0,0,0
33,0.190456,7500000.0,0,0,0,0,1
33,0.172322,5000000.0,0,0,0,0,1
29,0.169399,1400000.0,0,0,1,0,0
32,0.108599,10000000.0,0,0,0,0,1
33,0.0885023,7000000.0,0,0,0,0,1
28,0.065438,3500000.0,0,0,0,0,1
35,0.0268229,9300000.0,0,1,0,0,0
31,0.0131997,3000000.0,0,0,0,0,1
32,-0.0266353,6000000.0,0,0,0,0,0
33,-0.0493311,5750000.0,0,0,0,0,1
29,-0.0753666,5000000.0,0,1,0,0,0
28,-0.0961048,2000000.0,0,0,1,0,0
30,-0.0993295,2500000.0,0,0,0,0,1
30,-0.132447,1200000.0,0,0,0,0,1
31,-0.14859,1000000.0,0,0,0,1,0
29,-0.218313,1200000.0,0,0,0,1,0
35,-0.224826,3750000.0,0,0,0,0,1
32,-0.248249,3250000.0,0,0,0,0,0
33,-0.369364,3000000.0,0,1,0,0,0
30,-0.57264,5000000.0,0,0,0,0,0
34,-0.805497,720000.0,0,1,0,0,0
42,-0.849375,1000000.0,1,0,0,0,0
31,6.24185,25000000.0,0,1,0,0,0
27,6.18412,35100000.0,0,1,0,0,0
33,5.45518,19500000.0,0,0,0,1,0
37,5.38627,43333333.33333333,0,0,0,0,1
29,4.92449,22000000.0,0,0,0,0,1
32,4.84697,24700000.0,0,1,0,0,0
31,4.80828,22000000.0,0,0,0,0,1
29,4.0404,23333333.33333333,0,1,0,0,0
30,3.91998,23000000.0,0,0,0,0,1
29,3.88143,8846154.0,0,0,0,0,1
28,3.62749,32500000.0,0,1,0,0,0
30,3.52183,20000000.0,0,0,1,0,0
34,3.39442,17000000.0,0,0,0,0,1
34,3.39402,18400000.0,0,1,0,0,0
31,3.3637,23666666.66666667,0,0,0,0,1
30,3.10566,26000000.0,0,0,1,0,0
33,3.08844,13250000.0,0,0,0,1,0
32,3.0379,12000000.0,0,0,0,0,1
31,2.95099,15000000.0,0,0,1,0,0
31,2.84983,13250000.0,0,0,0,1,0
29,2.83038,19750000.0,0,0,1,0,0
29,2.76779,23333333.33333333,0,1,0,0,0
31,2.75205,11000000.0,0,0,0,0,1
33,2.58727,10000000.0,0,0,1,0,0
31,2.5303,12500000.0,0,0,0,0,1
31,2.52615,6000000.0,0,1,0,0,0
34,2.5188,10000000.0,0,0,0,0,1
30,2.30795,14000000.0,0,0,0,0,1
34,2.30491,5500000.0,0,0,1,0,0
32,2.12942,16000000.0,0,1,0,0,0
32,2.10626,8000000.0,0,0,0,0,1
32,2.03764,10000000.0,0,0,0,0,1
41,2.02248,15000000.0,1,0,0,0,0
35,1.83601,5000000.0,0,0,0,0,1
34,1.8144,16000000.0,0,0,0,0,1
31,1.79568,5500000.0,0,0,1,0,0
42,1.67172,5000000.0,0,0,0,0,1
32,1.66012,5000000.0,0,1,0,0,0
33,1.6498,3000000.0,0,0,0,0,1
32,1.62498,4000000.0,0,1,0,0,0
34,1.61596,6500000.0,0,0,0,0,0
34,1.59595,8500000.0,0,0,0,0,1
34,1.59269,7000000.0,0,0,0,0,1
35,1.54178,4000000.0,0,0,0,0,0
36,1.51982,3142857.0,0,0,0,0,1
35,1.50991,8500000.0,0,0,1,0,0
36,1.43556,8000000.0,0,0,0,0,1
32,1.39376,6500000.0,0,0,0,0,1
28,1.37743,700000.0,0,1,0,0,0
31,1.34782,5200000.0,0,0,0,0,1
30,1.34358,1750000.0,0,0,0,1,0
33,1.31914,5500000.0,0,0,0,0,1
38,1.28436,13000000.0,0,0,0,0,1
34,1.27003,4500000.0,0,1,0,0,0
37,1.12023,7000000.0,0,0,0,0,1
31,1.09044,12000000.0,0,0,0,0,1
30,1.0849,7000000.0,0,0,0,0,1
31,1.07877,8000000.0,0,0,0,0,1
35,1.06764,7000000.0,0,0,0,0,1
31,1.0649,8500000.0,0,0,0,0,1
34,1.06217,7500000.0,0,0,0,1,0
34,1.03267,5500000.0,0,0,0,0,1
38,0.961243,750000.0,0,0,0,0,1
33,0.955509,700000.0,0,0,0,0,1
32,0.915502,4000000.0,0,1,0,0,0
33,0.904021,5000000.0,0,0,0,1,0
31,0.885538,1500000.0,0,1,0,0,0
36,0.884476,1750000.0,0,0,0,0,1
33,0.859467,1750000.0,0,0,1,0,0
33,0.842599,1799451.0,0,0,0,1,0
34,0.804604,2500000.0,0,0,0,0,1
34,0.786156,5000000.0,0,0,0,0,1
30,0.707146,2100000.0,0,0,1,0,0
34,0.706185,8500000.0,0,0,0,0,1
38,0.70369,850000.0,0,0,1,0,0
35,0.695001,3500000.0,0,0,0,0,1
30,0.67977,9000000.0,0,0,0,1,0
30,0.629877,2500000.0,0,0,0,0,1
32,0.62806,5000000.0,0,0,1,0,0
31,0.626378,4000000.0,0,0,0,0,1
33,0.620478,2376374.0,0,0,0,0,1
30,0.602393,10000000.0,0,0,0,0,1
36,0.551784,4000000.0,0,0,0,0,1
32,0.55136,1500000.0,0,0,1,0,0
33,0.519022,8500000.0,0,0,0,0,1
29,0.503926,1750000.0,0,0,0,0,1
38,0.495115,900000.0,0,0,0,0,0
30,0.482955,340659.0,0,0,1,0,0
36,0.452451,2500000.0,0,0,0,0,1
29,0.407617,395604.0,0,0,0,0,1
31,0.406932,5500000.0,0,0,0,0,1
35,0.386169,1500000.0,0,0,0,0,1
35,0.384872,1750000.0,0,0,0,0,1
31,0.372091,1250000.0,0,0,0,1,0
30,0.367454,6000000.0,0,0,0,1,0
33,0.355149,2000000.0,0,0,0,0,1
38,0.352774,2500000.0,0,0,0,0,1
33,0.346676,1825000.0,0,0,0,0,1
33,0.334471,5250000.0,0,0,0,0,1
31,0.32131,1300000.0,0,0,0,1,0
30,0.299448,171703.0,0,0,0,0,1
33,0.297917,2125000.0,0,0,0,0,1
31,0.284867,900000.0,0,0,0,0,0
32,0.269355,979500.0,0,0,0,0,1
33,0.262225,2500000.0,0,0,0,0,1
29,0.229267,3750000.0,0,0,0,0,1
30,0.227482,6750000.0,0,0,0,0,1
39,0.177105,2000000.0,0,0,0,0,1
34,0.177039,1250000.0,0,0,0,0,1
33,0.167593,3500000.0,0,0,0,0,1
32,0.164306,5000000.0,0,0,0,0,1
31,0.132866,7000000.0,0,0,0,0,1
30,0.131944,3000000.0,0,0,0,0,1
32,0.0892783,1000000.0,0,0,1,0,0
31,0.0841916,2250000.0,0,0,0,0,1
40,0.0809233,93407.0,0,0,0,0,1
33,0.0806791,4150000.0,0,0,0,0,1
37,0.076826,3500000.0,0,0,0,0,1
29,0.0760253,1750000.0,0,0,0,0,1
29,0.0696367,5000000.0,0,0,0,0,1
33,0.0446022,5800000.0,0,0,0,0,1
37,0.041123,4750000.0,0,0,0,0,1
32,-0.00777741,6000000.0,0,0,0,0,1
39,-0.026057,1000000.0,0,0,0,0,1
29,-0.0344301,21000000.0,0,0,0,0,1
34,-0.035215,3000000.0,0,0,0,0,1
31,-0.0412986,824176.0,0,0,1,0,0
34,-0.0449282,5200000.0,0,0,0,1,0
37,-0.0469723,850000.0,0,0,0,0,0
32,-0.052899,6000000.0,0,0,0,0,1
29,-0.0535169,1000000.0,0,0,1,0,0
31,-0.067004,1500000.0,0,0,0,0,1
29,-0.068018,1750000.0,0,0,0,0,1
35,-0.0905594,4000000.0,0,0,0,0,1
28,-0.115008,981319.0,0,0,0,0,0
29,-0.12736,3000000.0,0,0,0,0,1
42,-0.171183,2500000.0,0,0,1,0,0
36,-0.175792,150000.0,0,0,0,0,1
30,-0.197859,4000000.0,0,0,1,0,0
33,-0.226342,2376374.0,0,0,0,0,1
30,-0.234842,1000000.0,0,0,0,0,1
33,-0.238884,5000000.0,0,0,0,0,0
30,-0.267695,12000000.0,0,0,1,0,0
31,-0.291154,1200000.0,0,0,0,0,1
29,-0.296484,1000000.0,0,0,1,0,0
36,-0.301534,730769.0,0,0,1,0,0
30,-0.304822,3000000.0,0,0,0,0,1
32,-0.410479,181319.0,0,1,0,0,0
38,-0.41656,1750000.0,0,0,0,0,0
33,-0.527023,1100000.0,0,0,1,0,0
31,-0.54275,850000.0,0,0,0,0,1
29,-0.63728,900000.0,0,0,0,1,0
29,-0.705474,1250000.0,0,1,0,0,0
30,-1.05579,800000.0,0,0,0,0,0
27,-1.16533,1500000.0,0,0,0,1,0
30,2.56308,21468588.66666667,0,0,0,0,1
30,2.48728,16250000.0,0,0,1,0,0
32,2.36233,15000000.0,0,0,1,0,0
31,2.08355,5000000.0,0,1,0,0,0
40,1.99735,13000000.0,1,0,0,0,0
31,1.8393,25000000.0,0,0,0,1,0
31,1.67013,12000000.0,0,0,0,1,0
30,1.63384,23100000.0,0,0,0,0,0
31,1.63113,5000000.0,0,0,0,1,0
30,1.57846,18900000.0,0,0,0,0,1
29,1.51206,4500000.0,0,1,0,0,0
31,1.48176,10150000.0,0,0,0,0,0
32,1.40012,18000000.0,0,0,0,0,1
36,1.37627,17000000.0,0,1,0,0,0
28,1.25636,6666666.66666667,0,0,1,0,0
30,1.21237,9000000.0,0,1,0,0,0
34,1.10478,16000000.0,0,0,1,0,0
31,1.10429,10500000.0,0,0,0,0,1
32,1.10302,6250000.0,0,1,0,0,0
28,1.06663,800000.0,0,1,0,0,0
39,1.02651,8000000.0,0,0,0,0,1
32,0.957452,3250000.0,0,0,0,1,0
32,0.948652,11000000.0,0,0,0,0,1
35,0.931982,2250000.0,0,0,1,0,0
29,0.908005,8000000.0,0,0,0,1,0
37,0.889154,15000000.0,0,0,0,0,1
33,0.832067,9000000.0,0,0,0,0,1
31,0.806404,14000000.0,0,1,0,0,0
31,0.790524,3500000.0,0,1,0,0,0
31,0.78218,11000000.0,0,0,0,0,1
31,0.780903,2500000.0,0,0,0,0,1
35,0.759962,2750000.0,0,0,0,0,1
36,0.757668,2250000.0,0,0,0,0,1
32,0.751687,5000000.0,0,0,0,1,0
33,0.721464,10000000.0,0,0,0,0,1
37,0.716492,2575000.0,0,0,0,1,0
41,0.691998,2500000.0,0,0,0,0,1
35,0.682996,8750000.0,0,1,0,0,0
32,0.67823,2000000.0,0,0,0,0,0
34,0.672229,2500000.0,0,0,0,0,1
36,0.60403,3500000.0,0,0,0,0,1
28,0.595689,6000000.0,0,0,0,0,1
32,0.594039,6250000.0,0,0,0,0,1
28,0.582248,9000000.0,0,0,0,0,1
28,0.577711,1150000.0,0,0,0,0,1
38,0.572307,8000000.0,0,0,0,0,1
33,0.567208,2500000.0,0,0,0,0,1
32,0.544328,3000000.0,0,0,1,0,0
32,0.544328,88949.0,0,0,1,0,0
34,0.538709,1814550.0,0,0,0,0,1
37,0.51857,3500000.0,0,0,0,0,1
33,0.512524,8750000.0,0,0,0,0,1
35,0.509004,6000000.0,0,0,0,0,1
35,0.509004,144159.0,0,0,0,0,1
38,0.499392,9000000.0,0,0,0,0,0
33,0.489484,2575000.0,0,0,0,0,1
30,0.44933,5000000.0,0,0,0,0,1
36,0.435574,1250000.0,0,0,0,0,1
33,0.434989,2500000.0,0,0,0,0,1
31,0.41799,3000000.0,0,0,0,0,1
31,0.41799,147226.0,0,0,0,0,1
33,0.407774,1500000.0,0,0,0,0,1
31,0.399357,7750000.0,0,0,0,0,1
28,0.396668,1650000.0,0,1,0,0,0
31,0.385973,1000000.0,0,1,0,0,0
31,0.371864,10500000.0,0,1,0,0,0
39,0.36588,182432.0,0,0,0,0,1
31,0.344068,496489.0,0,0,1,0,0
34,0.33479,1150000.0,0,0,0,0,1
32,0.334287,1191892.0,0,0,0,0,1
32,0.334287,138024.0,0,0,0,0,1
28,0.332493,7000000.0,0,0,1,0,0
31,0.329957,2100000.0,0,0,0,0,1
31,0.329957,128829.0,0,0,0,0,1
30,0.320452,1500000.0,0,0,0,1,0
34,0.31736,3500000.0,0,0,0,0,0
33,0.316776,800000.0,0,0,0,0,1
38,0.314583,1575000.0,0,0,0,0,1
32,0.297491,8500000.0,0,0,0,0,1
36,0.275928,1308108.0,0,0,0,0,1
36,0.266352,3000000.0,0,0,0,0,1
31,0.264811,1500000.0,0,0,1,0,0
30,0.262371,1250000.0,0,0,0,0,1
29,0.257209,162162.0,0,0,0,0,1
34,0.242674,1500000.0,0,0,0,0,0
37,0.222018,5000000.0,0,0,0,0,1
30,0.216537,18000000.0,0,1,0,0,0
